,,,,,,
,Программа,,ВВЕДЕНИЕ В МЕТОД ,БАЗОВЫЙ МОДУЛЬ,ПРОДВИНУТЫЙ МОДУЛЬ,МАСТЕРСКИЙ МОДУЛЬ 
,Чему специалист обучается,,Знакомство с методом ,"Корректное выполнение базового алгоритма.

Специалист учится делать правильные действия в правильной последовательности.
Он может ещё не осознавать всю глубину компетенций, но должен соблюдать алгоритм, этику, границы, структуру диагностики, проработку и тест результата.","Компетентное ведение процесса внутри алгоритма.

Специалист начинает осознанно проявлять компетенции внутри алгоритма: не просто «идёт по шагам», а понимает, как создавать безопасность, удерживать контакт, исследовать глубже, видеть систему, работать с защитами, управлять динамикой и отслеживать прогресс.","Стратегическое, гибкое и самостоятельное владение методом.

Работа над развитием аутентичности"
,Цель обучения,,"1. Познакомить с методом БПСП, его логикой, принципами, отличиями и областью применения.
2. Показать, как строится работа методом: запрос, диагностика, проработка и тест результата.
3. Сформировать доверие через научные статьи, манифест, отзывы, кейсы и демо-сессии.
4. Показать метод в действии через эфиры, демонстрационные сессии и разборы.
5. Познакомить со структурой обучения, форматами участия, менторингом и сертификацией.
6. Помочь участнику увидеть траекторию развития специалиста и принять решение о дальнейшем обучении.","1. Научить специалиста безопасно и корректно работать по базовому алгоритму БПСП.
2. Дать понятную структуру диагностики, сессии проработки и тестирования результата.
3. Сформировать базовое понимание логики метода: что делать, зачем, в какой последовательности и как проверять результат.
4. Научить соблюдать профессиональные границы, этику и корректную позицию специалиста.
5. Подготовить к первым самостоятельным сессиям под супервизией/менторингом.","1. Сформировать устойчивые профессиональные компетенции специалиста БПСП.
2. Научить осознанно проявлять компетенции внутри диагностики, проработки и тестирования результата.
3. Развить способность создавать безопасность, доверие, партнёрство и рабочее соглашение с клиентом.
4. Научить глубже исследовать структуру запроса, БПС-программы, защиты, сопротивление и причинно-следственные связи.
5. Развить точность, гибкость и самостоятельность в выборе инструментов, последовательности работы и управлении динамикой сессии.
6. Перевести специалиста от корректного выполнения алгоритма к глубокой, точной и результативной работе.",
,Стоимость,,бесплатно,90 000 рублей,180 000 рублей,
,Продолжительность обучения,,определяется самостоятельно,4 месяца,8 месяцев,
,Минимальное количество часов (требование для прохождения сертификации),,—,от 100 часов практики ,от 500 часов практики,от 1000 часов практики
,Фундамент,"Метод БПСП 
(изучение логики, алгоритмов и инструментов метода)",—,"1. Как проводить диагностику и продавать по ее окончанию (первые 2 видео)
2. Работа в трансовом состоянии. Обход психологических защит
3. Проработка БПС-программ через перепроживание (ППВО)
4. Исцеление внутреннего ребенка (ресурсирование) ","1. Диагностика (Фокусы внимания)
2. Проработка страхов и вторичных выгод
3. Изменение ограничивающих убеждений клиента
4. Проработка БПС-программ через образы
5. Инструменты усиленияи и закрепления результатов (ресурсирование)
6. Проработка БПС-программ через части личности",
,,"Работа с личностью 
(проработка личных программ, влияющих на практику специалиста)",—,"1. Быть хорошим
2. Перфекционизм
3. Самозванец
4. Запрет на деньги","1. Прокрастинация 
2. Самооценка
3. Стратегии компенсации
4. Стресс союзник
5. Право на агрессию
6. Метанавыки профессионального коуча и психолога ",
,,"Бизнес-процессы 
(построение и развитие частной практики)",—,,,
,,"    Метанавыки специалиста БПСП
(профессиональные компетенции, которые проявляются внутри диагностики, проработки и тестирования результата)",—,—,,
,"Специализации 
(направления клиентских запросов, особенности диагностики и работы с ними)",,—,"1. ЦОЖ
2. Работа с запросами на деньги 
3. Работа с запросами на отношения ","1. Работа с выгоранием
2. РПП
3.  Работа по восстановлению зрения 
4. Психосоматика 
5. Работа с фобиями и паническими атаками + работа с частями",
,"Менторинги
(развитие профессиональных компетенций с обратной связью специалиста)",,—,2 менторинга,4 менторинга,
,"Супервизии
(разбор сложных случаев, переносов, личных реакций и поддержание профессиональной устойчивости)",,—,,,
,"Сертификация 
(подтверждение владения компетенциями ступени)",,—,"Базовая сертификация проверяет корректное владение базовым алгоритмом метода: специалист понимает, что необходимо делать, в какой последовательности, как проводить диагностику, проработку и тест результата.","Продвинутая сертификация проверяет расширенный уровень владения методом: специалист не только соблюдает алгоритм, но и осознанно проявляет профессиональные компетенции, необходимые для глубокой, точной, безопасной и результативной работы с клиентом.",